Team,Team_Status,FG_percent_team,TP_percent_team
ATL,Non-Playoff,44.24552429667519,33.160621761658035
BKN,Non-Playoff,41.17647058823529,30.76923076923077
BOS,Playoff,45.86129753914989,37.75100401606426
CHA,Non-Playoff,44.370860927152314,38.864628820960704
CHI,Non-Playoff,43.72549019607843,31.53153153153153
CLE,Playoff,43.54354354354354,29.28571428571429
DAL,Non-Playoff,46.97986577181208,35.294117647058826
DEN,Playoff,45.1219512195122,33.92857142857143
DET,Playoff,44.398340248962654,32.17821782178218
GSW,Playoff,49.8812351543943,37.89473684210527
HOU,Playoff,46.666666666666664,33.13953488372093
IND,Playoff,51.206434316353885,34
LAC,Playoff,47.928994082840234,30.88235294117647
LAL,Playoff,43.67245657568238,33.33333333333333
MEM,Playoff,43.93939393939394,35.483870967741936
MIA,Playoff,42.98245614035088,33.6405529953917
MIL,Playoff,42.32804232804233,35.483870967741936
MIN,Playoff,44.423440453686204,35.294117647058826
NOP,Non-Playoff,40.909090909090914,26.08695652173913
NYK,Playoff,43.0672268907563,30.09259259259259
OKC,Playoff,47.722342733188725,35.09615384615385
ORL,Playoff,47.65342960288809,33.05084745762712
PHI,Non-Playoff,42.80701754385965,31.88976377952756
PHX,Non-Playoff,44.8421052631579,34.862385321100916
POR,Non-Playoff,45.98930481283423,31.15942028985507
SAC,Non-Playoff,42.47191011235955,27.173913043478258
SAS,Non-Playoff,46.590909090909086,33.83838383838384
TOR,Non-Playoff,48.23788546255506,34.59119496855346
UTA,Non-Playoff,46.74329501915709,35.84070796460177
WAS,Non-Playoff,40.64171122994652,32.544378698224854
